dataset,dataset_size,train_size,test_size,model,learning_rate,n_estimators,train_time_sec,eval_time_sec,total_time_sec,memory_increase_mb,peak_memory_mb,accuracy,f1,precision,recall,roc_auc
unknown,569,455,114,XGBoost,0.01,100,0.27697157859802246,0.008623361587524414,0.2855949401855469,0.171875,0.02114105224609375,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9914021164021164
unknown,569,455,114,LightGBM,0.01,100,0.0962376594543457,0.008589029312133789,0.10482668876647949,1.23828125,1.465123176574707,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9900793650793651
unknown,569,455,114,XGBoost,0.01,300,0.3161046504974365,0.008131980895996094,0.3242366313934326,1.734375,0.013550758361816406,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9943783068783069
unknown,569,455,114,LightGBM,0.01,300,0.23362493515014648,0.00713348388671875,0.24075841903686523,1.40234375,2.3771677017211914,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9923941798941799
unknown,569,455,114,XGBoost,0.1,100,0.0791177749633789,0.0095977783203125,0.0887155532836914,0.00390625,0.0138397216796875,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9947089947089948
unknown,569,455,114,LightGBM,0.1,100,0.1184391975402832,0.009630680084228516,0.12806987762451172,0.08984375,1.5748472213745117,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772
unknown,569,455,114,XGBoost,0.1,300,0.16349554061889648,0.008597850799560547,0.17209339141845703,-1.4453125,0.015789031982421875,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9940476190476191
unknown,569,455,114,LightGBM,0.1,300,0.1798241138458252,0.008376121520996094,0.1882002353668213,0.9140625,1.8648614883422852,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9884259259259259
