dataset,dataset_size,train_size,test_size,model,learning_rate,n_estimators,train_time_sec,eval_time_sec,total_time_sec,memory_increase_mb,peak_memory_mb,accuracy,f1,precision,recall,roc_auc
higgs,11000000,8800000,2200000,XGBoost,0.01,100,38.321617126464844,2.015911340713501,40.337528467178345,10.79296875,83.92664432525635,0.7005495454545455,0.7236734318945113,0.7080945399982599,0.7399532519889349,0.772852505384868
higgs,11000000,8800000,2200000,LightGBM,0.01,100,30.03552532196045,3.3986268043518066,33.434152126312256,-6.9375,134.29405879974365,0.6965054545454545,0.7180631175001626,0.7071440036660227,0.7293247271245684,0.7688221371866895
higgs,11000000,8800000,2200000,XGBoost,0.01,300,104.12786841392517,3.8764262199401855,108.00429463386536,-2.84375,83.92652988433838,0.7188072727272727,0.7367895700212143,0.7309884446890906,0.7426835073874724,0.7960876599487411
higgs,11000000,8800000,2200000,LightGBM,0.01,300,89.72927260398865,9.585190773010254,99.3144633769989,-5.53125,134.28882122039795,0.7165509090909091,0.7327269999785697,0.7322562268434241,0.7331983788304419,0.7938153784461696
higgs,11000000,8800000,2200000,XGBoost,0.1,100,39.058414459228516,2.1621968746185303,41.220611333847046,-38.8984375,83.92652988433838,0.7321736363636364,0.7489383895222049,0.7441013783135958,0.7538386979177836,0.8121883129694483
higgs,11000000,8800000,2200000,LightGBM,0.1,100,31.713720560073853,5.047458171844482,36.761178731918335,-15.0859375,134.28885650634766,0.7317259090909091,0.7475688333351155,0.7455201535508638,0.7496288036369095,0.8116536991777369
higgs,11000000,8800000,2200000,XGBoost,0.1,300,94.70585632324219,4.207194805145264,98.91305112838745,4.15234375,83.92652988433838,0.7430218181818182,0.759708531538914,0.7529476785478086,0.7665918984410182,0.824797054886386
higgs,11000000,8800000,2200000,LightGBM,0.1,300,74.6047031879425,9.891670942306519,84.49637413024902,69.25390625,134.288800239563,0.7414818181818181,0.7576319059608045,0.7528369175733483,0.7624883666073381,0.8230505481578814
