model,learning_rate,n_estimators,accuracy,f1,precision,recall,roc_auc
XGBoost,0.01,100,0.9649122807017544,0.9722222222222222,0.958904109589041,0.9859154929577465,0.9895185063871601
LightGBM,0.01,100,0.956140350877193,0.9655172413793104,0.9459459459459459,0.9859154929577465,0.9921388797903702
XGBoost,0.01,300,0.956140350877193,0.965034965034965,0.9583333333333334,0.971830985915493,0.9934490664919752
LightGBM,0.01,300,0.956140350877193,0.965034965034965,0.9583333333333334,0.971830985915493,0.9882083196855552
XGBoost,0.1,100,0.956140350877193,0.965034965034965,0.9583333333333334,0.971830985915493,0.9927939731411726
LightGBM,0.1,100,0.9649122807017544,0.9722222222222222,0.958904109589041,0.9859154929577465,0.9934490664919751
XGBoost,0.1,300,0.956140350877193,0.965034965034965,0.9583333333333334,0.971830985915493,0.9934490664919751
LightGBM,0.1,300,0.9649122807017544,0.9722222222222222,0.958904109589041,0.9859154929577465,0.9921388797903701
