dataset,dataset_size,train_size,test_size,model,learning_rate,n_estimators,train_time_sec,eval_time_sec,total_time_sec,memory_increase_mb,peak_memory_mb,accuracy,f1,precision,recall,roc_auc
creditcard_fraud,284807,227845,56962,XGBoost,0.01,100,0.9816281795501709,0.051328420639038086,1.032956600189209,-4.7421875,2.176203727722168,0.9993328885923949,0.7654320987654321,0.96875,0.6326530612244898,0.9770881903690006
creditcard_fraud,284807,227845,56962,LightGBM,0.01,100,0.7560412883758545,0.06460857391357422,0.8206498622894287,-0.43359375,4.306976318359375,0.9993328885923949,0.7764705882352941,0.9166666666666666,0.673469387755102,0.9628182853754894
creditcard_fraud,284807,227845,56962,XGBoost,0.01,300,2.8295984268188477,0.08497428894042969,2.9145727157592773,-6.27734375,2.176089286804199,0.9995435553526912,0.8555555555555555,0.9390243902439024,0.7857142857142857,0.9736549181433969
creditcard_fraud,284807,227845,56962,LightGBM,0.01,300,1.397461175918579,0.1608891487121582,1.5583503246307373,-2.97265625,5.6454925537109375,0.9994557775359011,0.8306010928961749,0.8941176470588236,0.7755102040816326,0.9697234109597694
creditcard_fraud,284807,227845,56962,XGBoost,0.1,100,1.2158827781677246,0.05142068862915039,1.267303466796875,-3.9609375,2.176089286804199,0.9995435553526912,0.8586956521739131,0.9186046511627907,0.8061224489795918,0.9754613226832657
creditcard_fraud,284807,227845,56962,LightGBM,0.1,100,0.673891544342041,0.08104181289672852,0.7549333572387695,1.75390625,4.290813446044922,0.9930128857835048,0.24334600760456274,0.14953271028037382,0.6530612244897959,0.808464234033512
creditcard_fraud,284807,227845,56962,XGBoost,0.1,300,3.090106725692749,0.08282804489135742,3.1729347705841064,-4.4609375,2.176089286804199,0.9995259997893332,0.8524590163934426,0.9176470588235294,0.7959183673469388,0.9778739893537607
creditcard_fraud,284807,227845,56962,LightGBM,0.1,300,1.2356271743774414,0.1336688995361328,1.3692960739135742,1.01953125,4.683585166931152,0.9988237772550121,0.6417112299465241,0.6741573033707865,0.6122448979591837,0.8109336059972667
