dataset,dataset_size,train_size,test_size,model,learning_rate,n_estimators,train_time_sec,eval_time_sec,total_time_sec,memory_increase_mb,peak_memory_mb,accuracy,f1,precision,recall,roc_auc
breast_cancer,569,455,114,XGBoost,0.01,100,1.8355777263641357,0.009605884552001953,1.8451836109161377,103.20703125,0.04744243621826172,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9914021164021164
breast_cancer,569,455,114,LightGBM,0.01,100,0.06940436363220215,0.010273933410644531,0.07967829704284668,4.26171875,1.5139999389648438,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9900793650793651
breast_cancer,569,455,114,XGBoost,0.01,300,0.240875244140625,0.011389732360839844,0.25226497650146484,1.0703125,0.015592575073242188,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9943783068783069
breast_cancer,569,455,114,LightGBM,0.01,300,0.17563486099243164,0.009995222091674805,0.18563008308410645,0.7734375,2.3765182495117188,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9923941798941799
breast_cancer,569,455,114,XGBoost,0.1,100,0.08374857902526855,0.00931549072265625,0.0930640697479248,-0.8125,0.013482093811035156,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9947089947089948
breast_cancer,569,455,114,LightGBM,0.1,100,0.08062243461608887,0.008101463317871094,0.08872389793395996,1.3984375,1.5739355087280273,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772
breast_cancer,569,455,114,XGBoost,0.1,300,0.17705678939819336,0.00770115852355957,0.18475794792175293,0.37890625,0.015394210815429688,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9940476190476191
breast_cancer,569,455,114,LightGBM,0.1,300,0.11279726028442383,0.00811147689819336,0.12090873718261719,-0.68359375,1.8641748428344727,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9884259259259259
creditcard_fraud,284807,227845,56962,XGBoost,0.01,100,0.9816281795501709,0.051328420639038086,1.032956600189209,-4.7421875,2.176203727722168,0.9993328885923949,0.7654320987654321,0.96875,0.6326530612244898,0.9770881903690006
creditcard_fraud,284807,227845,56962,LightGBM,0.01,100,0.7560412883758545,0.06460857391357422,0.8206498622894287,-0.43359375,4.306976318359375,0.9993328885923949,0.7764705882352941,0.9166666666666666,0.673469387755102,0.9628182853754894
creditcard_fraud,284807,227845,56962,XGBoost,0.01,300,2.8295984268188477,0.08497428894042969,2.9145727157592773,-6.27734375,2.176089286804199,0.9995435553526912,0.8555555555555555,0.9390243902439024,0.7857142857142857,0.9736549181433969
creditcard_fraud,284807,227845,56962,LightGBM,0.01,300,1.397461175918579,0.1608891487121582,1.5583503246307373,-2.97265625,5.6454925537109375,0.9994557775359011,0.8306010928961749,0.8941176470588236,0.7755102040816326,0.9697234109597694
creditcard_fraud,284807,227845,56962,XGBoost,0.1,100,1.2158827781677246,0.05142068862915039,1.267303466796875,-3.9609375,2.176089286804199,0.9995435553526912,0.8586956521739131,0.9186046511627907,0.8061224489795918,0.9754613226832657
creditcard_fraud,284807,227845,56962,LightGBM,0.1,100,0.673891544342041,0.08104181289672852,0.7549333572387695,1.75390625,4.290813446044922,0.9930128857835048,0.24334600760456274,0.14953271028037382,0.6530612244897959,0.808464234033512
creditcard_fraud,284807,227845,56962,XGBoost,0.1,300,3.090106725692749,0.08282804489135742,3.1729347705841064,-4.4609375,2.176089286804199,0.9995259997893332,0.8524590163934426,0.9176470588235294,0.7959183673469388,0.9778739893537607
creditcard_fraud,284807,227845,56962,LightGBM,0.1,300,1.2356271743774414,0.1336688995361328,1.3692960739135742,1.01953125,4.683585166931152,0.9988237772550121,0.6417112299465241,0.6741573033707865,0.6122448979591837,0.8109336059972667
higgs,11000000,8800000,2200000,XGBoost,0.01,100,38.321617126464844,2.015911340713501,40.337528467178345,10.79296875,83.92664432525635,0.7005495454545455,0.7236734318945113,0.7080945399982599,0.7399532519889349,0.772852505384868
higgs,11000000,8800000,2200000,LightGBM,0.01,100,30.03552532196045,3.3986268043518066,33.434152126312256,-6.9375,134.29405879974365,0.6965054545454545,0.7180631175001626,0.7071440036660227,0.7293247271245684,0.7688221371866895
higgs,11000000,8800000,2200000,XGBoost,0.01,300,104.12786841392517,3.8764262199401855,108.00429463386536,-2.84375,83.92652988433838,0.7188072727272727,0.7367895700212143,0.7309884446890906,0.7426835073874724,0.7960876599487411
higgs,11000000,8800000,2200000,LightGBM,0.01,300,89.72927260398865,9.585190773010254,99.3144633769989,-5.53125,134.28882122039795,0.7165509090909091,0.7327269999785697,0.7322562268434241,0.7331983788304419,0.7938153784461696
higgs,11000000,8800000,2200000,XGBoost,0.1,100,39.058414459228516,2.1621968746185303,41.220611333847046,-38.8984375,83.92652988433838,0.7321736363636364,0.7489383895222049,0.7441013783135958,0.7538386979177836,0.8121883129694483
higgs,11000000,8800000,2200000,LightGBM,0.1,100,31.713720560073853,5.047458171844482,36.761178731918335,-15.0859375,134.28885650634766,0.7317259090909091,0.7475688333351155,0.7455201535508638,0.7496288036369095,0.8116536991777369
higgs,11000000,8800000,2200000,XGBoost,0.1,300,94.70585632324219,4.207194805145264,98.91305112838745,4.15234375,83.92652988433838,0.7430218181818182,0.759708531538914,0.7529476785478086,0.7665918984410182,0.824797054886386
higgs,11000000,8800000,2200000,LightGBM,0.1,300,74.6047031879425,9.891670942306519,84.49637413024902,69.25390625,134.288800239563,0.7414818181818181,0.7576319059608045,0.7528369175733483,0.7624883666073381,0.8230505481578814
