model,learning_rate,n_estimators,subsample,max_depth,colsample_bytree,fit_time_seconds,accuracy,f1,precision,recall,roc_auc,predict_time_seconds,num_leaves
LightGBM,0.01,300,0.8,,0.8,0.08428339999954915,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9927248677248677,0.0025018000014824793,15.0
LightGBM,0.01,300,0.8,,1.0,0.08473719999892637,0.956140350877193,0.965034965034965,0.971830985915493,0.9583333333333334,0.9927248677248677,0.0020176000034553,15.0
LightGBM,0.01,300,0.8,,0.8,0.15761509999720147,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9923941798941799,0.002853300000424497,31.0
LightGBM,0.01,300,0.8,,1.0,0.21966270000120858,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9923941798941799,0.002994299997226335,31.0
LightGBM,0.01,300,0.8,,0.8,0.12319470000511501,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9923941798941799,0.002172599997720681,63.0
LightGBM,0.01,300,0.8,,1.0,0.11176159999740776,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9923941798941799,0.002500700000382494,63.0
XGBoost,0.01,300,1.0,3.0,0.8,0.11928369999805,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9923941798941799,0.0012777999945683405,
XGBoost,0.01,300,1.0,3.0,1.0,0.1313815000030445,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9930555555555555,0.001338099995336961,
XGBoost,0.01,300,1.0,6.0,0.8,0.2074343000058434,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9927248677248678,0.0014528000028803945,
XGBoost,0.01,300,1.0,6.0,1.0,0.228973400000541,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9914021164021164,0.0016622999974060804,
LightGBM,0.01,300,1.0,,0.8,0.08338440000079572,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9927248677248677,0.002887800001190044,15.0
LightGBM,0.01,300,1.0,,1.0,0.08494570000038948,0.956140350877193,0.965034965034965,0.971830985915493,0.9583333333333334,0.9927248677248677,0.0020363000003271736,15.0
LightGBM,0.01,300,1.0,,0.8,0.10301330000220332,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9923941798941799,0.0027113999967696145,31.0
LightGBM,0.01,300,1.0,,1.0,0.1135428999987198,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9923941798941799,0.0020786999957636,31.0
LightGBM,0.01,300,1.0,,0.8,0.12513120000221534,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9923941798941799,0.0024835000003804453,63.0
LightGBM,0.01,300,1.0,,1.0,0.11278650000167545,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9923941798941799,0.002227999997558072,63.0
XGBoost,0.01,600,0.8,3.0,0.8,0.2207676999969408,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9947089947089947,0.0016355999978259206,
XGBoost,0.01,600,0.8,3.0,1.0,0.2608598000006168,0.9385964912280702,0.9517241379310345,0.9452054794520548,0.9583333333333334,0.9947089947089947,0.0016574000037508085,
XGBoost,0.01,600,0.8,6.0,0.8,0.31266219999815803,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9947089947089947,0.00179980000393698,
XGBoost,0.01,600,0.8,6.0,1.0,0.3417124999978114,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9950396825396826,0.0017494999992777593,
LightGBM,0.01,600,0.8,,0.8,0.1728917000000365,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9907407407407407,0.0026360999981989153,15.0
LightGBM,0.01,600,0.8,,1.0,0.1726524999976391,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9900793650793651,0.002284200003487058,15.0
LightGBM,0.01,600,0.8,,0.8,0.23998289999872213,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9904100529100529,0.003318299997772556,31.0
LightGBM,0.01,600,0.8,,1.0,0.2807366000051843,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.002793699997710064,31.0
LightGBM,0.01,600,0.8,,0.8,0.2419510000036098,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9904100529100529,0.0034177999987150542,63.0
LightGBM,0.01,600,0.8,,1.0,0.43536699999822304,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.0029323999988264404,63.0
XGBoost,0.01,600,1.0,3.0,0.8,0.21921930000098655,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9937169312169312,0.001653999999689404,
XGBoost,0.01,600,1.0,3.0,1.0,0.2425059999950463,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9940476190476191,0.001629400001547765,
XGBoost,0.01,600,1.0,6.0,0.8,0.338565899997775,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9937169312169313,0.0018865000020014122,
XGBoost,0.01,600,1.0,6.0,1.0,0.4164837999996962,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9917328042328042,0.0018062000017380342,
LightGBM,0.01,600,1.0,,0.8,0.17454589999397285,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9907407407407407,0.0028395999979693443,15.0
LightGBM,0.01,600,1.0,,1.0,0.17303000000538304,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9900793650793651,0.0024772000033408403,15.0
LightGBM,0.01,600,1.0,,0.8,0.25179210000351304,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9904100529100529,0.003249000001233071,31.0
LightGBM,0.01,600,1.0,,1.0,0.25987760000134585,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.0027559000009205192,31.0
LightGBM,0.01,600,1.0,,0.8,0.24242809999850579,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9904100529100529,0.0028019999954267405,63.0
LightGBM,0.01,600,1.0,,1.0,0.248698899995361,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.0031068000025697984,63.0
XGBoost,0.05,100,0.8,3.0,0.8,0.04175519999989774,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9943783068783069,0.0011245000059716403,
XGBoost,0.05,100,0.8,3.0,1.0,0.04418279999663355,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9950396825396826,0.001127000003180001,
XGBoost,0.05,100,0.8,6.0,0.8,0.06045260000246344,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9953703703703703,0.0011263000051258132,
XGBoost,0.05,100,0.8,6.0,1.0,0.07133810000232188,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9947089947089947,0.0011468000011518598,
LightGBM,0.05,100,0.8,,0.8,0.03201880000415258,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9914021164021164,0.002392100002907682,15.0
LightGBM,0.05,100,0.8,,1.0,0.030839799997920636,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9900793650793651,0.00197870000556577,15.0
LightGBM,0.05,100,0.8,,0.8,0.04114090000075521,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9930555555555556,0.0019952999937231652,31.0
LightGBM,0.05,100,0.8,,1.0,0.04133929999807151,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9907407407407407,0.00198390000150539,31.0
